"""uncharacterized"" (is used in Protein name UniProt)",Bait detected+enriched (=self loop),Cluster ID (Markov),CPX - Recommended name,Cross-reference (ComplexPortal),Gene names  (UniP-SGD-primary or ordered locus),Gene names  (UniP-SGD-primary+synonym or ordered locus),Is in GFP library,name,SGD Brief Description,SGD ID,SGD Name,SGD Qualifier,shared name,Subcellular location [CC],TaBaQ (relative abundance),Uncharacterized (SGD Qualifier+Uniprot combined),UniProt ID
FALSE,TRUE,124,,,TWF1,TWF1,TRUE,YGR080W,Twinfilin,S000003312;,TWinFilin,Verified,YGR080W,"Cytoplasm, cytoskeleton {ECO:0000250}.",20.67196,FALSE,P53250
FALSE,TRUE,124,,,BSP1,BSP1,TRUE,YPR171W,Adapter that links synaptojanins to the cortical actin cytoskeleton,S000006375;,Binding protein of Synaptojanin Polyphosphoinositide phosphatase domain,Verified,YPR171W,"Cell membrane;Peripheral membrane protein. Cytoplasm, cytoskeleton, actin patch. Note=Peripheral membrane protein in a PtdIns(4)P and PtdIns(4,5)P2 manner.",19.10599,FALSE,Q06604
FALSE,TRUE,124,F-actin capping protein complex,CPX-1637,CAP2,CAP2,TRUE,YIL034C,Beta subunit of the capping protein heterodimer (Cap1p and Cap2p),S000001296;,CAPping,Verified,YIL034C,"Cytoplasm, cytoskeleton, actin patch {ECO:0000269|PubMed:1315784}. Bud {ECO:0000269|PubMed:1315784}. Bud tip {ECO:0000269|PubMed:1315784}. Note=Found at cortical actin spots at the site of bud emergence and at the tips of growing buds and shmoos.",22.91328,FALSE,P13517
FALSE,TRUE,124,AIM21-TDA2 actin assembly regulator complex,CPX-3541,TDA2,TDA2,TRUE,YER071C,Subunit of a complex that associates with actin filaments,S000000873;,Topoisomerase I Damage Affected,Verified,YER071C,Cytoplasm {ECO:0000269|PubMed:14562095}. Cell projection {ECO:0000269|PubMed:19053807}. Note=Concentrates at cytoplasmic punctate structures and localizes at the mating projection tip. {ECO:0000269|PubMed:19053807}.,18.62773,FALSE,P40045
FALSE,TRUE,124,F-actin capping protein complex,CPX-1637,CAP1,CAP1,TRUE,YKL007W,Alpha subunit of the capping protein heterodimer (Cap1p and Cap2p),S000001490;,CAPping,Verified,YKL007W,,21.72441,FALSE,P28495
FALSE,TRUE,124,AIM21-TDA2 actin assembly regulator complex,CPX-3541,AIM21,AIM21,TRUE,YIR003W,Subunit of a complex that associates with actin filaments,S000001442;,Altered Inheritance rate of Mitochondria,Verified,YIR003W,"Cytoplasm, cytoskeleton, actin patch {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:19053807}. Note=Cortical actin patches. Localizes at the shmoo tip.",21.29296,FALSE,P40563
FALSE,FALSE,124,,,BBC1,BBC1;MTI1,FALSE,YJL020C,Protein possibly involved in assembly of actin patches,S000003557;,Bni1 synthetic lethal and Bee1 (las17) Complex member,Verified,YJL020C,"Cytoplasm, cytoskeleton, actin patch {ECO:0000269|PubMed:11901111}. Note=Colocalizes with cortical actin patches.",,FALSE,P47068
FALSE,TRUE,363,NRD1 snoRNA termination complex,CPX-1316,NRD1,NRD1,TRUE,YNL251C,RNA-binding subunit of Nrd1 complex,S000005195;,Nuclear pre-mRNA Down-regulation,Verified,YNL251C,Nucleus {ECO:0000305}.,21.33541,FALSE,P53617
FALSE,FALSE,363,NRD1 snoRNA termination complex,CPX-1316,NAB3,NAB3;HMD1,TRUE,YPL190C,"RNA-binding protein, subunit of Nrd1 complex (Nrd1p-Nab3p-Sen1p)",S000006111;,Nuclear polyAdenylated RNA-Binding,Verified,YPL190C,"Nucleus, nucleoplasm {ECO:0000269|PubMed:7962083}.",17.2246,FALSE,P38996
FALSE,TRUE,363,,,YMR1,YMR1,TRUE,YJR110W,Phosphatidylinositol 3-phosphate (PI3P) phosphatase,S000003871;,Yeast Myotubularin Related,Verified,YJR110W,Cytoplasm {ECO:0000269|PubMed:14562095}.,18.65759,FALSE,P47147
FALSE,TRUE,60,DASH complex,CPX-1041,DUO1,DUO1,TRUE,YGL061C,Essential subunit of the Dam1 complex (aka DASH complex),S000003029;,Death Upon Overproduction,Verified,YGL061C,"Nucleus {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:9817759}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:9817759}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:9817759}. Note=Associates with the mitotic spindle and the kinetochore. {ECO:0000269|PubMed:9817759}.",18.50871,FALSE,P53168
