"entry","protein_families"
"A0A087X1C5","Cytochrome P450 family"
"A0A0K2S4Q6","CD300 family"
"A0A1B0GTW7","Peptidase M8 family"
"A0AV02","SLC12A transporter family"
"A0AV96","RRM RBM47 family"
"A0AVF1","IFT56 family"
"A0AVI4","TMEM129 family"
"A0AVK6","E2F/DP family"
"A0AVT1","Ubiquitin-activating E1 family"
"A0FGR8","Extended synaptotagmin family"
"A0FGR9","Extended synaptotagmin family"
"A0JLT2","Mediator complex subunit 19 family"
"A0JP26","POTE family"
"A0MZ66","Shootin family"
"A0PJK1","Sodium:solute symporter (SSF) (TC 2.A.21) family"
"A0PJY2","Krueppel C2H2-type zinc-finger protein family"
"A0PK00","TMEM120 family"
"A0PK11","Clarin family"
"A1A4Y4","TRAFAC class dynamin-like GTPase superfamily, IRG family"
"A1A519","FAM170 family"
"A1A5B4","Anoctamin family"
"A1A5C7","Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family"
"A1E959","ODAM family"
"A1KXE4","FAM168 family"
"A1KZ92","Peroxidase family, XPO subfamily"
"A1L0T0","TPP enzyme family"
"A1L167","Ubiquitin-conjugating enzyme family"
"A1L3X0","ELO family, ELOVL7 subfamily"
"A1X283","SH3PXD2 family"
"A1XBS5","CIBAR family"
"A1Z1Q3","MacroD-type family, MacroD1/2-like subfamily"
"A2A288","ZC3H12 family"
"A2IDD5","CCDC78 family"
"A2PYH4","Helicase family, SKI2 subfamily"
"A2RTX5","Class-II aminoacyl-tRNA synthetase family"
"A2RU14","TMEM218 family"
"A2RU49","Aminoglycoside phosphotransferase family"
"A2RUC4","TYW5 family"
"A2RUH7","Immunoglobulin superfamily, MyBP family"
"A2VDJ0","TMEM131 family"
"A2VEC9","Thrombospondin family"
"A4D126","IspD/TarI cytidylyltransferase family, IspD subfamily"
"A4D161","FAM221 family"
"A4D1B5","GSAP family"
"A4D1E9","TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family"
"A4D1P6","WD repeat WDR91 family"
"A4D1T9","Peptidase S1 family"
"A4D256","Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily"
"A4D2B0","Metallo-beta-lactamase superfamily, Glyoxalase II family"
"A4D2B8","DNA mismatch repair MutL/HexB family"
"A4GXA9","EME1/MMS4 family"
"A4UGR9","Xin family"
"A5A3E0","POTE family"
"A5A3E0"," Actin family"
"A5D8V6","VPS37 family"
"A5LHX3","Peptidase T1B family"
"A5PKW4","PSD family"
"A5PLL7","Fatty acid desaturase CarF family"
"A5X5Y0","Ligand-gated ion channel (TC 1.A.9) family, 5-hydroxytryptamine receptor (TC 1.A.9.2) subfamily, HTR3E sub-subfamily"
"A5YKK6","CNOT1 family"
"A6BM72","MEGF family"
"A6H8Z2","FAM221 family"
"A6NC98","CCDC88 family"
"A6NCS4","NK-2 homeobox family"
"A6ND01","Folate receptor family"
"A6ND36","FAM83 family"
"A6NDB9","Paralemmin family"
"A6NDG6","HAD-like hydrolase superfamily, CbbY/CbbZ/Gph/YieH family"
"A6NDV4","TMEM8 family"
"A6NEM1","GOLGA6 family"
"A6NFA1","TIKI family"
"A6NFQ2","TCAF family"
"A6NFX1","Major facilitator superfamily"
"A6NFY7","Complex I LYR family, SDHAF1 subfamily"
"A6NGQ2","KHDC1 family"
"A6NGU5","Gamma-glutamyltransferase family"
"A6NHL2","Tubulin family"
"A6NHQ2","Methyltransferase superfamily, Fibrillarin family"
"A6NHR9","SMC family"
"A6NHX0","GATS family"
"A6NI61","TMEM8 family"
"A6NIH7","PDE6D/unc-119 family"
"A6NIX2","Zyxin/ajuba family"
"A6NJ78","Methyltransferase superfamily, RsmH family"
"A6NK06","PrpD family"
"A6NK58","LipB family"
"A6NKB5","Pecanex family"
"A6NMZ7","Type VI collagen family"
"A6NNB3","CD225/Dispanin family"
"A6NNM8","Tubulin--tyrosine ligase family"
"A6NNN8","Amino acid/polyamine transporter 2 family"
"A6NNY8","Peptidase C19 family"
"A6NNZ2","Tubulin family"
"A7E2V4","ZSWIM8 family"
"A7E2Y1","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"A7KAX9","PX domain-containing GAP family"
"A7MD48","NSR100 family"
"A7XYQ1","SOBP family"
"A8CG34","POM121 family"
"A8K0Z3","WASH1 family"
"A8K2U0","Protease inhibitor I39 (alpha-2-macroglobulin) family"
"A8K4G0","CD300 family"
"A8K7I4","CLCR family"
"A8K830","POU2AF family"
"A8K8P3","SFI1 family"
"A8K8V0","Krueppel C2H2-type zinc-finger protein family"
"A8MPY1","Ligand-gated ion channel (TC 1.A.9) family, Gamma-aminobutyric acid receptor (TC 1.A.9.5) subfamily, GABRR3 sub-subfamily"
"A8MQ03","CYSRT1 family"
"A8MT69","CENP-X/MHF2 family"
"A8MTA8","CIMIP2 family"
"A8MTJ3","G-alpha family, G(i/o/t/z) subfamily"
"A8MTZ0","BBIP10 family"
"A8MU46","Smoothelin family"
"A8MUP2","Methyltransferase superfamily"
"A8MV65","Vestigial family"
"A8MW95","Beclin family"
"A8MW99","MEI4L family"
"A8MXD5","GRXCR1 family"
"A8MXV4","Nudix hydrolase family"
"A8MYU2","Potassium channel family, Calcium-activated (TC 1.A.1.3) subfamily, KCa5.1/KCNU1 sub-subfamily"
"A8MZ59","Paired homeobox family"
"A8TX70","Type VI collagen family"
"A9QM74","Importin alpha family"
"A9UHW6","MIF4GD family"
"B0I1T2","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"B0YJ81","Very long-chain fatty acids dehydratase HACD family"
"B2RTY4","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"B2RUZ4","SMIM1 family"
"B2RXF5","Krueppel C2H2-type zinc-finger protein family, ZBTB18 subfamily"
"B2RXH2","JHDM3 histone demethylase family"
"B7U540","Inward rectifier-type potassium channel (TC 1.A.2.1) family, KCNJ12 subfamily"
"B7ZAQ6","Golgi pH regulator (TC 1.A.38) family"
"C4AMC7","WASH1 family"
"C9JE40","PAT1 family"
"C9JLW8","MCRIP family"
"C9JRZ8","Aldo/keto reductase family"
"D6RGH6","Geminin family"
"E0CX11","STMP1 family"
"F5H094","Organo anion transporter (TC 2.A.60) family"
"G2XKQ0","Ubiquitin family, SUMO subfamily"
"K9M1U5","Lambda interferon family"
"L0R8F8","Complex I LYR family"
"O00115","DNase II family"
"O00116","FAD-binding oxidoreductase/transferase type 4 family"
"O00139","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, MCAK/KIF2 subfamily"
"O00141","Protein kinase superfamily, AGC Ser/Thr protein kinase family"
"O00142","DCK/DGK family"
"O00144","G-protein coupled receptor Fz/Smo family"
"O00148","DEAD box helicase family, DECD subfamily"
"O00155","G-protein coupled receptor 1 family"
"O00159","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"O00160","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"O00161","SNAP-25 family"
"O00165","HAX1 family"
"O00167","HAD-like hydrolase superfamily, EYA family"
"O00168","FXYD family"
"O00175","Intercrine beta (chemokine CC) family"
"O00178","TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, GTPBP1 subfamily"
"O00180","Two pore domain potassium channel (TC 1.A.1.8) family"
"O00186","STXBP/unc-18/SEC1 family"
"O00187","Peptidase S1 family"
"O00189","Adaptor complexes medium subunit family"
"O00192","Beta-catenin family"
"O00194","Small GTPase superfamily, Rab family"
"O00203","Adaptor complexes large subunit family"
"O00204","Sulfotransferase 1 family"
"O00206","Toll-like receptor family"
"O00212","Small GTPase superfamily, Rho family"
"O00217","Complex I 23 kDa subunit family"
"O00219","NodC/HAS family"
"O00221","NF-kappa-B inhibitor family"
"O00222","G-protein coupled receptor 3 family"
"O00231","Proteasome subunit S9 family"
"O00232","Proteasome subunit p55 family"
"O00233","Proteasome subunit p27 family"
"O00238","Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily"
"O00244","ATX1 family"
"O00254","G-protein coupled receptor 1 family"
"O00258","WRB/GET1 family"
"O00264","Cytochrome b5 family, MAPR subfamily"
"O00267","SPT5 family"
"O00268","TAF4 family"
"O00270","G-protein coupled receptor 1 family"
"O00291","SLA2 family"
"O00292","TGF-beta family"
"O00294","TUB family"
"O00299","Chloride channel CLIC family"
"O00303","EIF-3 subunit F family"
"O00305","Calcium channel beta subunit family"
"O00311","Protein kinase superfamily, Ser/Thr protein kinase family, CDC7 subfamily"
"O00321","ETS family"
"O00322","Tetraspanin (TM4SF) family"
"O00329","PI3/PI4-kinase family"
"O00330","2-oxoacid dehydrogenase family"
"O00337","Concentrative nucleoside transporter (CNT) (TC 2.A.41) family"
"O00338","Sulfotransferase 1 family"
"O00341","Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family, SLC1A7 subfamily"
"O00391","Quiescin-sulfhydryl oxidase (QSOX) family"
"O00399","Dynactin subunits 5/6 family, Dynactin subunit 6 subfamily"
"O00400","SLC33A transporter family"
"O00408","Cyclic nucleotide phosphodiesterase family, PDE2 subfamily"
"O00410","Importin beta family, Importin beta-3 subfamily"
"O00411","Phage and mitochondrial RNA polymerase family"
"O00418","Protein kinase superfamily, Alpha-type protein kinase family"
"O00421","G-protein coupled receptor 1 family"
"O00422","SAP18 family"
"O00423","WD repeat EMAP family"
"O00425","RRM IMP/VICKZ family"
"O00429","TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family"
"O00442","RNA 3'-terminal cyclase family, Type 1 subfamily"
"O00443","PI3/PI4-kinase family"
"O00444","Protein kinase superfamily, Ser/Thr protein kinase family, CDC5/Polo subfamily"
"O00445","Synaptotagmin family"
"O00451","GDNFR family"
"O00453","LST1 family"
"O00459","PI3K p85 subunit family"
"O00461","GOLIM4 family"
"O00462","Glycosyl hydrolase 2 family"
"O00463","TNF receptor-associated factor family, A subfamily"
"O00470","TALE/MEIS homeobox family"
"O00471","SEC10 family"
"O00472","ELL/occludin family"
"O00476","Major facilitator superfamily, Sodium/anion cotransporter family"
"O00478","Immunoglobulin superfamily, BTN/MOG family"
"O00481","Immunoglobulin superfamily, BTN/MOG family"
"O00482","Nuclear hormone receptor family, NR5 subfamily"
"O00483","Complex IV NDUFA4 subunit family"
